Date,Price,Open,High,Low,Vol.,Change %
2024-07-26,24849.9,24430.05,24860.05,24418.4,0,+1.82%
2024-07-25,24406.1,24230.95,24426.15,24210.8,0,-0.03%
2024-07-24,24413.5,24444.95,24504.25,24307.25,0,-0.27%
2024-07-23,24479.05,24568.9,24582.55,24074.2,0,-0.12%
2024-07-22,24509.25,24445.75,24595.2,24362.3,0,-0.09%
2024-07-19,24530.9,24853.8,24854.8,24508.15,0,-1.09%
2024-07-18,24800.85,24543.8,24837.75,24504.45,0,+0.76%
2024-07-16,24613.0,24615.9,24661.25,24587.65,0,+0.11%
2024-07-15,24586.7,24587.6,24635.05,24522.75,0,+0.35%
2024-07-12,24502.15,24387.95,24592.2,24331.15,0,+0.77%
2024-07-11,24315.95,24396.55,24402.65,24193.75,0,-0.03%
2024-07-10,24324.45,24459.85,24461.05,24141.8,0,-0.45%
2024-07-09,24433.2,24351.0,24443.6,24331.9,0,+0.46%
2024-07-08,24320.55,24329.45,24344.6,24240.55,0,-0.01%
2024-07-05,24323.85,24213.35,24363.0,24168.85,0,+0.09%
2024-07-04,24302.15,24369.95,24401.0,24281.0,0,+0.06%
2024-07-03,24286.5,24291.75,24309.15,24207.1,0,+0.67%
2024-07-02,24123.85,24228.75,24236.35,24056.4,0,-0.07%
2024-07-01,24141.95,23992.95,24164.0,23992.7,0,+0.55%
2024-06-28,24010.6,24085.9,24174.0,23985.8,0,-0.14%
2024-06-27,24044.5,23881.55,24087.45,23805.4,0,+0.74%
