Date,Price,Open,High,Low,Vol.,Change %
2024-08-07,24315.25,24287.8,24336.25,24186.2,0,+1.34%
2024-08-06,23992.55,24189.85,24382.6,23960.4,0,-0.26%
2024-08-05,24055.6,24302.85,24350.05,23893.7,0,-2.68%
2024-08-02,24717.7,24789.0,24851.9,24686.85,0,-1.17%
2024-08-01,25010.9,25030.95,25078.3,24956.4,0,+0.24%
2024-07-31,24951.15,24886.7,24984.6,24856.5,0,+0.38%
2024-07-30,24857.3,24839.4,24971.75,24798.65,0,+0.09%
2024-07-29,24836.1,24943.3,24999.75,24774.6,0,+0.01%
2024-07-26,24834.85,24423.35,24861.15,24410.9,0,+1.76%
2024-07-25,24406.1,24230.95,24426.15,24210.8,0,-0.03%
2024-07-24,24413.5,24444.95,24504.25,24307.25,0,-0.27%
2024-07-23,24479.05,24568.9,24582.55,24074.2,0,-0.12%
2024-07-22,24509.25,24445.75,24595.2,24362.3,0,-0.09%
2024-07-19,24530.9,24853.8,24854.8,24508.15,0,-1.09%
2024-07-18,24800.85,24543.8,24837.75,24504.45,0,+0.76%
2024-07-16,24613.0,24615.9,24661.25,24587.65,0,+0.11%
2024-07-15,24586.7,24587.6,24635.05,24522.75,0,+0.35%
2024-07-12,24502.15,24387.95,24592.2,24331.15,0,+0.77%
2024-07-11,24315.95,24396.55,24402.65,24193.75,0,-0.03%
2024-07-10,24324.45,24459.85,24461.05,24141.8,0,-0.45%
2024-07-09,24433.2,24351.0,24443.6,24331.9,0,+0.46%
2024-07-08,24320.55,24329.45,24344.6,24240.55,0,-0.01%
